OBJECTID,LAD21CD,LAD21NM,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area,Students
267,E08000028,Sandwell,399573,290764,-2.00771,52.514771,59211.00113,85558927.9,1965
268,E08000029,Solihull,419434,281483,-1.71558,52.431,101031.2751,178282117.1,1975
269,E08000030,Walsall,402098,300804,-1.97044,52.60503,59401.17943,103973538.3,1775
270,E08000031,Wolverhampton,391463,300016,-2.12746,52.597881,56054.78866,69436709.48,1685
271,E08000032,Bradford,408395,438626,-1.87389,53.843819,135920.3652,366419745.4,3485
272,E08000033,Calderdale,402617,424896,-1.96182,53.720482,107687.1873,363960992.7,1760
273,E08000034,Kirklees,414586,416223,-1.7808501,53.64233,125668.2778,408551660.8,3095
274,E08000035,Leeds,432528,436384,-1.50736,53.822731,161521.7355,551706535.8,4390
275,E08000036,Wakefield,438366,418235,-1.42092,53.659222,109447.2864,338619733.8,2370
276,E08000037,Gateshead,420159,559652,-1.68694,54.931149,89794.06237,142354807.6,1195
277,E09000001,City of London,532382,181358,-0.093510002,51.51564,9404.600409,2889678.823,20
278,E09000002,Barking and Dagenham,547757,185111,0.12947901,51.545551,40903.00612,36101367.44,1365
279,E09000003,Barnet,523473,191752,-0.21819,51.611069,50937.77818,86766703.24,2635
280,E09000004,Bexley,549202,175434,0.146212,51.458221,47959.49024,60578408.39,2120
281,E09000005,Brent,519615,186465,-0.27568001,51.564381,38441.46211,43236364.5,2140
282,E09000006,Bromley,542036,165707,0.039246,51.372662,76225.71965,150132482.6,2340
283,E09000007,Camden,527491,184283,-0.16291,51.543049,26245.73918,21778579.66,1005
284,E09000008,Croydon,533922,164744,-0.077610001,51.365971,58721.19577,86488720.66,3035
285,E09000009,Ealing,517055,181959,-0.3141,51.524422,47461.41748,55542068.97,2125
286,E09000010,Enfield,532831,196198,-0.081440002,51.648891,41091.47176,82190329.7,2615
287,E09000011,Greenwich,542507,175878,0.050092999,51.46394,47635.28677,47311233.38,1395
288,E09000012,Hackney,534560,185787,-0.060449999,51.55492,25441.85444,19043878.18,1155
289,E09000013,Hammersmith and Fulham,523867,177993,-0.21735001,51.487331,24008.09587,16403288.64,755
290,E09000014,Haringey,531260,189349,-0.1067,51.587711,29085.50896,29606188.76,1495
291,E09000015,Harrow,515359,189736,-0.33598,51.594669,33811.79129,50464270.39,1720
292,E09000016,Havering,555032,187514,0.235368,51.565189,63722.71372,112343558.3,1885
293,E09000017,Hillingdon,508166,183121,-0.44182,51.53664,63941.02129,115704359.8,1930
294,E09000018,Hounslow,512737,174959,-0.37854999,51.462379,64533.80365,55962868.56,1855
295,E09000019,Islington,531160,184645,-0.10989,51.54546,20747.74008,14858041.72,820
296,E09000020,Kensington and Chelsea,525756,179058,-0.18977,51.496479,21062.94097,12123771.9,460
297,E09000021,Kingston upon Thames,519508,167389,-0.28367001,51.39296,37549.92172,37259416.98,1225
298,E09000022,Lambeth,531118,175629,-0.11385,51.464451,34048.71204,26807014.53,1140
299,E09000023,Lewisham,537888,173343,-0.017340001,51.442299,41214.89033,35146120.51,1435
300,E09000024,Merton,526068,169508,-0.18867999,51.41058,32439.53367,37624038.28,1015
301,E09000025,Newham,540713,183346,0.027261,51.53149,35876.14494,36195900.43,2430
302,E09000026,Redbridge,543512,189477,0.070084997,51.58588,50492.93878,56397395.01,2550
303,E09000027,Richmond upon Thames,519005,172650,-0.28913999,51.44035,68932.84897,57392803.72,900
304,E09000028,Southwark,533945,175869,-0.073080003,51.465939,34596.34216,28877697.11,1505
305,E09000029,Sutton,527357,163639,-0.17226,51.357552,39927.91571,43847690.33,1820
306,E09000030,Tower Hamlets,536340,181452,-0.03647,51.515541,28755.00627,19770868.22,1695
307,E09000031,Waltham Forest,537328,190278,-0.0188,51.594608,33346.57527,38810231.01,1900
308,E09000032,Wandsworth,525152,174138,-0.20021001,51.4524,38839.85859,34261867.34,1325
309,E09000033,Westminster,528268,180871,-0.15295,51.512211,27534.13167,21482611.2,1080
310,N09000001,Antrim and Newtownabbey,130813,541285,-6.1775999,54.693859,165144.796,728186553.5,#N/A
311,N09000002,"Armagh City, Banbridge and Craigavon",112110,508158,-6.4345498,54.3867,243056.1875,1437068553,#N/A
312,N09000003,Belfast,146465,529747,-5.9253502,54.59853,65908.19752,137716630.2,#N/A
313,N09000004,Causeway Coast and Glens,106168,581420,-6.5995998,55.039619,381749.4931,1985534512,#N/A
314,N09000005,Derry City and Strabane,51779,559566,-7.42064,54.80904,271488.9082,1251241563,#N/A
315,N09000006,Fermanagh and Omagh,41233,513013,-7.5271001,54.385208,426624.0284,3012114877,#N/A
316,N09000007,Lisburn and Castlereagh,138712,518920,-6.03545,54.49752,167382.916,510438068.2,#N/A
317,N09000008,Mid and East Antrim,133943,560151,-6.14645,54.86462,234862.5893,1061355467,#N/A
318,N09000009,Mid Ulster,83920,528564,-6.8888998,54.552731,318433.1848,1957293802,#N/A
319,N09000010,"Newry, Mourne and Down",133006,480432,-6.0889101,54.149529,380092.2594,1682340590,#N/A
320,N09000011,Ards and North Down,164321,524944,-5.64568,54.564091,204687.6608,566472955,#N/A
321,S12000005,Clackmannanshire,291178,696402,-3.75316,56.147839,96934.53723,159185046.8,#N/A
322,S12000006,Dumfries and Galloway,270645,579856,-4.0286298,55.09621,1207100.797,6436566764,#N/A
323,S12000008,East Ayrshire,255398,624935,-4.2905698,55.496738,340964.441,1270342032,#N/A
324,S12000010,East Lothian,354854,672351,-2.72435,55.94207,202128.8727,679240892.6,#N/A
325,S12000011,East Renfrewshire,251929,653115,-4.3606,55.74868,93882.42988,174249494.1,#N/A
326,S12000013,Na h-Eileanan Siar,126473,932862,-6.6572199,58.199379,3871068.339,3096614749,#N/A
327,S12000014,Falkirk,285585,680168,-3.83619,56.000751,169062.8261,297127560.1,#N/A
328,S12000017,Highland,241018,858292,-4.6610298,57.586571,5228313.528,26158744576,#N/A
329,S12000018,Inverclyde,227922,670894,-4.75387,55.900299,79292.11886,161948856.6,#N/A
330,S12000019,Midlothian,330088,659217,-3.1173799,55.82111,126470.9905,355271578.3,#N/A
331,S12000020,Moray,328015,843590,-3.2020199,57.476799,463278.2181,2237554237,#N/A
332,S12000021,North Ayrshire,228996,651640,-4.7245998,55.72789,350167.4813,885284943,#N/A
333,S12000023,Orkney Islands,348293,1006584,-2.90025,58.94334,1203117.009,1015036193,#N/A
334,S12000026,Scottish Borders,345889,626137,-2.85869,55.525951,514330.5618,4739167854,#N/A
335,S12000027,Shetland Islands,434516,1180307,-1.37344,60.504951,2321876.16,1468514417,#N/A
336,S12000028,South Ayrshire,226545,596271,-4.7289901,55.23008,334722.0797,1224369285,#N/A
337,S12000029,South Lanarkshire,284634,636071,-3.83272,55.60453,284527.3225,1773897195,#N/A
338,S12000030,Stirling,255980,708769,-4.3259501,56.249531,374946.1823,2252533429,#N/A
339,S12000033,Aberdeen City,387763,808479,-2.20398,57.166969,123490.6928,185566199,#N/A
340,S12000034,Aberdeenshire,352284,816277,-2.7920799,57.234692,795104.459,6318011419,#N/A
341,S12000035,Argyll and Bute,200740,715443,-5.2211399,56.28944,3795946.113,7005854069,#N/A
342,S12000036,City of Edinburgh,320193,669417,-3.27826,55.911201,110339.0065,263390596.4,#N/A
343,S12000038,Renfrewshire,239305,664698,-4.5683398,55.848621,131636.108,261487693.1,#N/A
344,S12000039,West Dunbartonshire,242904,681586,-4.52074,56.0014,103696.8566,177320342.7,#N/A
345,S12000040,West Lothian,299483,668514,-3.6090901,55.8992,134896.9947,428772889,#N/A
346,S12000041,Angus,345506,759636,-2.8921001,56.725182,328926.6639,2184982991,#N/A
347,S12000042,Dundee City,340291,732145,-2.9709499,56.4776,47831.22102,59800691.09,#N/A
348,S12000045,East Dunbartonshire,261240,676154,-4.2241702,55.95829,99602.36016,174489023.4,#N/A
349,S12000047,Fife,339187,704721,-2.9825101,56.231121,358326.9202,1325190178,#N/A
350,S12000048,Perth and Kinross,284302,744185,-3.88484,56.575279,633252.3285,5383770897,#N/A
351,S12000049,Glasgow City,261534,667033,-4.2147899,55.876492,135582.998,174621293.7,#N/A
352,S12000050,North Lanarkshire,277984,665608,-3.9514,55.868141,163984.6716,472309075.2,#N/A
353,W06000001,Isle of Anglesey,245217,378331,-4.3229799,53.279308,378962.1535,715212566.8,#N/A
354,W06000002,Gwynedd,280555,334966,-3.7771499,52.89883,643031.1861,2548293001,#N/A
355,W06000003,Conwy,283293,362563,-3.74646,53.147388,283264.2622,1130178953,#N/A
356,W06000004,Denbighshire,309843,355416,-3.34761,53.088329,228754.689,838716186.1,#N/A
357,W06000005,Flintshire,321134,369280,-3.1824801,53.21471,239008.2649,439830286.8,#N/A
358,W06000006,Wrexham,333523,345387,-2.9920299,53.001671,190040.4876,503773487.9,#N/A
359,W06000008,Ceredigion,267127,268437,-3.94993,52.297951,382134.5516,1788379278,#N/A
360,W06000009,Pembrokeshire,199821,221392,-4.9081802,51.855129,743271.4117,1618344603,#N/A
361,W06000010,Carmarthenshire,247954,224133,-4.2111001,51.894951,591758.3582,2371104004,#N/A
362,W06000011,Swansea,264022,197308,-3.9672301,51.658058,270826.9123,377614559.6,#N/A
363,W06000012,Neath Port Talbot,279261,195412,-3.7463801,51.644501,182189.8739,442272615.1,#N/A
364,W06000013,Bridgend,288231,185870,-3.61375,51.5606,93192.18923,250785304.4,#N/A
365,W06000014,Vale of Glamorgan,302947,173080,-3.39801,51.44836,108403.0969,331261393.9,#N/A
366,W06000015,Cardiff,315272,178887,-3.22209,51.502541,79618.42294,142303624.6,#N/A
367,W06000016,Rhondda Cynon Taf,302237,192395,-3.41359,51.621849,130240.6246,424150425,#N/A
368,W06000018,Caerphilly,317245,195259,-3.19753,51.650009,116205.6007,277387820.8,#N/A
369,W06000019,Blaenau Gwent,318236,206771,-3.18592,51.753639,65601.67444,108728048.2,#N/A
370,W06000020,Torfaen,327459,200480,-3.0510099,51.69836,82544.77098,126239927.9,#N/A
371,W06000021,Monmouthshire,337812,209231,-2.9028001,51.778271,224917.2428,850326621.7,#N/A
372,W06000022,Newport,337897,187432,-2.8976901,51.58231,153216.3,190431130.8,#N/A
373,W06000023,Powys,302329,273255,-3.4353099,52.34864,610121.3156,5195311014,#N/A
374,W06000024,Merthyr Tydfil,305916,206424,-3.3642499,51.748581,66696.81544,111957012,#N/A
